1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
-0.93351,0.97332,-0.5038,-1.1711,0.68174,2.2218,-1.2684,-1.0306,-0.096805,-0.005946,-0.24826,-0.20211,2.2218,0.98887,0
1.4145,1.2757,1.6912,1.5238,1.3196,0.31037,-0.84773,-0.856,0.50557,1.1974,1.4159,-0.1682,0.31037,-1.1049,0
-0.93505,1.4976,0.22316,0.89258,1.1997,2.6378,-1.7956,-1.1764,0.29632,0.74416,0.70939,-0.23615,2.6378,-0.77788,0
-0.9168,1.5833,0.2179,-0.56082,1.4325,2.9918,-1.8093,-1.2175,-0.001047,0.19332,-0.15294,-0.31078,2.9918,0.30631,0
-0.55582,1.623,0.82868,1.9025,0.79089,2.5385,-2.0824,-1.1862,-0.7917,1.1661,-0.21246,-1.5664,2.5385,-1.2737,0
-0.96666,0.97038,-0.26704,-0.62034,0.81646,2.6058,-1.6477,-1.1768,0.89984,0.023203,0.15511,-0.16546,2.6058,0.36505,0
0.12468,-0.31921,0.23365,0.034733,0.75324,-0.36247,-0.5222,-0.65608,-0.29192,0.29687,-0.031175,-0.9596,-0.36247,-0.20935,0
-1.5248,0.74237,-0.94227,-1.4465,0.58125,2.66,-1.7008,-1.2903,-0.52878,-0.91732,-0.20189,1.121,2.66,1.3676,0
-0.60968,2.0624,0.58935,0.033932,1.671,3.1612,-1.835,-1.2786,3.9675,0.17567,1.1561,1.2795,3.1612,-0.20873,0
-0.86744,1.3513,-0.16806,-0.80196,1.1384,2.5365,-1.5642,-1.1939,1.3809,0.035583,0.44398,0.69569,2.5365,0.5539,0
-0.92218,1.2565,-0.17179,-0.56723,0.9017,2.4833,-1.4495,-1.0626,-0.32259,0.24526,0.24613,0.11312,2.4833,0.31257,0
-0.62488,0.8218,-0.28403,-0.57594,0.92892,0.46982,-0.85458,-0.77229,1.5161,-0.2071,-0.045241,-0.025295,0.46982,0.32108,0
-0.61751,1.7841,0.28008,-0.2718,1.2809,2.6504,-1.6859,-1.2381,0.25122,0.26,0.87382,0.62953,2.6504,0.040816,0
0.62468,2.344,1.1951,0.63954,1.7959,1.3211,-1.217,-1.0644,0.021939,1.5894,1.4726,-0.39465,1.3211,-0.62724,0
1.499,0.95019,1.745,1.516,1.8331,-0.36269,-1.019,-1.1023,-0.41977,1.5418,0.92408,-0.5756,-0.36269,-1.1013,0
1.3156,0.95019,1.693,1.516,1.8815,-0.36269,-0.97056,-1.0722,-0.0019453,1.6747,0.42495,-1.5113,-0.36269,-1.1013,0
1.5296,0.97666,1.693,1.516,1.802,-0.36269,-0.98918,-1.0819,0.10869,1.7133,1.5902,0.097452,-0.36269,-1.1013,0
0.0024014,-0.31921,0.23365,0.034732,0.85837,-0.36247,-0.56574,-0.70919,-0.13187,0.35882,-0.095448,-0.86867,-0.36247,-0.20935,0
-1.0976,0.74076,-0.64973,-0.85425,0.47144,1.6519,-1.2118,-1.0203,0.13228,-0.30706,-0.60602,0.35298,1.6519,0.61114,0
-1.5257,0.21117,-1.1129,-1.4474,-0.023691,1.6519,-1.2957,-1.0363,-0.47139,-0.69024,-0.5241,0.25918,1.6519,1.3691,0
-1.5484,-0.35414,-1.434,-1.4735,-0.58835,0.25607,-1.081,-0.91384,-0.29206,-1.0033,-1.6006,-0.5381,0.25607,1.4077,0
-0.84745,0.7495,-0.33654,-0.55114,1.1913,0.31139,-0.87818,-0.81598,0.73401,-1.0628,-1.7191,-0.46654,0.31139,0.29689,0
-1.2149,0.7495,-0.53081,-0.84814,1.0472,1.9922,-1.1085,-0.9568,0.11685,-1.1965,-2.1306,-0.97983,1.9922,0.60439,0
-1.2054,0.65949,-0.63118,-1.1345,0.10714,2.1693,-1.5568,-1.16,-0.047996,-0.62202,-0.43481,-0.34346,2.1693,0.94231,0
-1.2054,0.65949,-0.63118,-1.1345,0.10692,2.0008,-1.5466,-1.159,-0.04858,-0.55804,-0.70357,-0.66091,2.0008,0.94231,0
-1.2054,0.76582,-0.63118,-1.1345,0.10207,2.043,-1.5706,-1.1594,0.26963,-0.53904,-0.59039,-0.64495,2.043,0.94231,0
-1.2054,0.60632,-0.68675,-1.1345,0.12309,2.0008,-1.5587,-1.1642,0.060043,-0.44796,-0.61534,-0.50676,2.0008,0.94231,0
1.5378,0.74652,1.383,1.5247,-0.0925,-0.36141,-0.10482,-0.44627,0.030003,0.85384,2.0328,1.1011,-0.36141,-1.1054,0
0.62313,0.22014,0.57017,0.63786,-0.1447,-0.36077,0.42585,0.20066,-0.55125,0.22694,0.15967,-0.072591,-0.36077,-0.6262,0
0.094113,-0.31921,0.23365,0.034733,0.7967,-0.36247,-0.50322,-0.65799,-0.21672,0.07537,-0.13479,-0.46085,-0.36247,-0.20935,0
-1.5381,0.18967,-1.2672,-1.7572,0.076063,1.6407,-1.4375,-1.1771,-0.0023369,-0.62088,-0.56439,0.12164,1.6407,1.8656,0
-1.2194,0.47688,-0.83714,-1.1502,-0.13119,1.9041,-1.5012,-1.14,-0.88006,-0.32801,-0.68136,-0.63221,1.9041,0.96225,0
-0.91448,1.2698,-0.07714,-0.55805,0.96049,2.6586,-1.5766,-1.1015,0.49666,-0.58007,0.51919,1.3962,2.6586,0.30361,0
0.60032,0.98832,1.4233,0.9091,2.5684,0.63953,-1.0758,-1.0641,-0.47188,1.2169,1.4249,-0.18074,0.63953,-0.78728,0
